Knot,Ropelength,Writhe,Average Crossing Number
12a493,105.72156,2.79833,49.66802209
12a494,106.57578,0.09932,49.67023341
12a495,107.91332,11.93086,50.13959118
12a496,108.47837,7.04605,49.79129918
12a497,110.00261,0.01428,48.38672021
12a498,110.66315,4.88321,49.54840361
12a499,108.98314,0.08408,50.48345118
12a500,111.41647,5.13323,47.84441762
12a501,110.88814,4.35235,47.94619936
12a502,106.46888,16.91847,45.48711675
12a503,106.48056,2.57207,45.48173705
12a504,108.68375,14.06766,46.07568182
12a505,107.42375,7.0008,48.3725671
12a506,106.37926,0.01595,49.88634104
12a507,109.95286,16.94384,48.69569698
12a508,104.75816,14.09715,47.8258734
12a509,107.19766,7.10659,48.76442065
12a510,108.03803,0.09396,49.28873579
12a511,110.92171,11.87668,49.71622994
12a512,106.31781,4.92652,49.69225661
12a513,107.60144,9.07763,49.05638659
12a514,106.94521,9.21842,49.1681767
12a515,108.03107,2.17291,47.98329526
12a516,108.05588,6.98725,50.5290299
12a517,107.83534,9.78622,49.06582864
12a518,106.56069,2.02232,48.1443794
12a519,106.41905,16.90898,46.86948895
12a520,105.66855,14.24,46.10876916
12a521,108.21217,9.73035,45.45448751
12a522,108.22748,13.87899,49.7650412
12a523,108.60426,2.15814,49.34491638
12a524,108.0407,6.86142,48.79875276
12a525,107.06389,4.30412,47.80524366
12a526,107.06393,6.9897,48.87752153
12a527,109.90045,11.87356,49.32969836
12a528,108.76706,4.89943,48.19106889
12a529,106.95974,2.07361,49.61992737
12a530,108.25447,1.9936,49.98408459
12a531,106.49858,7.04124,48.62817529
12a532,107.27954,4.3933,47.30812982
12a533,107.27022,11.86713,49.61317856
12a534,107.3973,9.17137,48.36548344
12a535,107.92157,4.86237,46.62330057
12a536,108.79053,9.64435,46.2256886
12a537,107.78498,6.86567,48.68322369
12a538,105.43224,16.91825,45.75590803
12a539,106.36226,14.13019,48.97102026
12a540,108.33286,13.89997,46.7165352
12a541,108.05206,9.67408,47.62919269
12a542,105.4597,11.15452,48.44360295
12a543,105.49353,6.95187,49.98862356
12a544,107.24961,2.08972,47.31253889
12a545,109.03446,4.98466,47.27679933
12a546,106.41861,6.97363,49.85727801
12a547,107.68098,14.03648,50.13111662
12a548,108.30328,9.90388,43.08759985
12a549,106.393,7.06898,47.28712068
12a550,106.19038,2.03162,45.84747353
12a551,108.22704,11.14226,45.44428142
12a552,106.24177,6.79469,47.61458328
12a553,106.46759,11.8947,49.00855748
12a554,108.2518,0.04916,49.62591046
12a555,106.98308,2.07312,50.29417899
12a556,106.7132,13.9425,48.99462577
12a557,105.4229,11.17157,47.42059766
12a558,106.12786,11.92403,49.46866066
12a559,107.44993,9.08586,48.78973998
12a560,108.51956,1.97953,48.43784272
12a561,108.02645,11.89484,49.45461627
12a562,106.47365,6.83864,47.93800639
12a563,107.66131,14.05109,47.10795533
12a564,104.60564,11.20083,48.96595174
12a565,106.62906,11.83518,49.24775644
12a566,106.87396,9.11037,48.40045273
12a567,105.89954,1.97589,50.79271705
12a568,106.64659,14.0672,48.19587362
12a569,107.93309,11.97773,47.53190203
12a570,106.12231,9.02673,47.51925055
12a571,110.28096,6.86439,50.86596024
12a572,106.91023,7.06637,49.45224692
12a573,107.07049,2.75254,49.59008338
12a574,107.09742,23.91015,46.45679757
12a575,105.2494,20.87852,48.19210144
12a576,107.68174,14.9185,45.04779847
